ray.origin.x, ray.origin.y, ray.origin.z, ray.direction.x, ray.direction.y, ray.direction.z
-0.706667, 0.995556, -1.000000, 0.706667, -0.995556, 1.000000
-0.697778, 0.995556, -1.000000, 0.697778, -0.995556, 1.000000
-0.688889, 0.995556, -1.000000, 0.688889, -0.995556, 1.000000
-0.680000, 0.995556, -1.000000, 0.680000, -0.995556, 1.000000
-0.671111, 0.995556, -1.000000, 0.671111, -0.995556, 1.000000
-0.662222, 0.995556, -1.000000, 0.662222, -0.995556, 1.000000
-0.653333, 0.995556, -1.000000, 0.653333, -0.995556, 1.000000
-0.644444, 0.995556, -1.000000, 0.644444, -0.995556, 1.000000
-0.635556, 0.995556, -1.000000, 0.635556, -0.995556, 1.000000
-0.626667, 0.995556, -1.000000, 0.626667, -0.995556, 1.000000
-0.617778, 0.995556, -1.000000, 0.617778, -0.995556, 1.000000
-0.608889, 0.995556, -1.000000, 0.608889, -0.995556, 1.000000
-0.600000, 0.995556, -1.000000, 0.600000, -0.995556, 1.000000
-0.591111, 0.995556, -1.000000, 0.591111, -0.995556, 1.000000
-0.582222, 0.995556, -1.000000, 0.582222, -0.995556, 1.000000
-0.573333, 0.995556, -1.000000, 0.573333, -0.995556, 1.000000
-0.564444, 0.995556, -1.000000, 0.564444, -0.995556, 1.000000
-0.555556, 0.995556, -1.000000, 0.555556, -0.995556, 1.000000
-0.546667, 0.995556, -1.000000, 0.546667, -0.995556, 1.000000
-0.537778, 0.995556, -1.000000, 0.537778, -0.995556, 1.000000
-0.528889, 0.995556, -1.000000, 0.528889, -0.995556, 1.000000
-0.520000, 0.995556, -1.000000, 0.520000, -0.995556, 1.000000
-0.511111, 0.995556, -1.000000, 0.511111, -0.995556, 1.000000
-0.502222, 0.995556, -1.000000, 0.502222, -0.995556, 1.000000
-0.493333, 0.995556, -1.000000, 0.493333, -0.995556, 1.000000
-0.484444, 0.995556, -1.000000, 0.484444, -0.995556, 1.000000
-0.475556, 0.995556, -1.000000, 0.475556, -0.995556, 1.000000
-0.466667, 0.995556, -1.000000, 0.466667, -0.995556, 1.000000
-0.457778, 0.995556, -1.000000, 0.457778, -0.995556, 1.000000
-0.448889, 0.995556, -1.000000, 0.448889, -0.995556, 1.000000
-0.440000, 0.995556, -1.000000, 0.440000, -0.995556, 1.000000
-0.431111, 0.995556, -1.000000, 0.431111, -0.995556, 1.000000
-0.422222, 0.995556, -1.000000, 0.422222, -0.995556, 1.000000
-0.413333, 0.995556, -1.000000, 0.413333, -0.995556, 1.000000
-0.404444, 0.995556, -1.000000, 0.404444, -0.995556, 1.000000
-0.395556, 0.995556, -1.000000, 0.395556, -0.995556, 1.000000
-0.386667, 0.995556, -1.000000, 0.386667, -0.995556, 1.000000
-0.377778, 0.995556, -1.000000, 0.377778, -0.995556, 1.000000
-0.368889, 0.995556, -1.000000, 0.368889, -0.995556, 1.000000
-0.360000, 0.995556, -1.000000, 0.360000, -0.995556, 1.000000
-0.351111, 0.995556, -1.000000, 0.351111, -0.995556, 1.000000
-0.342222, 0.995556, -1.000000, 0.342222, -0.995556, 1.000000
-0.333333, 0.995556, -1.000000, 0.333333, -0.995556, 1.000000
-0.324444, 0.995556, -1.000000, 0.324444, -0.995556, 1.000000
-0.315556, 0.995556, -1.000000, 0.315556, -0.995556, 1.000000
-0.306667, 0.995556, -1.000000, 0.306667, -0.995556, 1.000000
-0.297778, 0.995556, -1.000000, 0.297778, -0.995556, 1.000000
-0.288889, 0.995556, -1.000000, 0.288889, -0.995556, 1.000000
-0.280000, 0.995556, -1.000000, 0.280000, -0.995556, 1.000000
-0.271111, 0.995556, -1.000000, 0.271111, -0.995556, 1.000000
-0.262222, 0.995556, -1.000000, 0.262222, -0.995556, 1.000000
-0.253333, 0.995556, -1.000000, 0.253333, -0.995556, 1.000000
-0.244444, 0.995556, -1.000000, 0.244444, -0.995556, 1.000000
-0.235556, 0.995556, -1.000000, 0.235556, -0.995556, 1.000000
-0.226667, 0.995556, -1.000000, 0.226667, -0.995556, 1.000000
-0.217778, 0.995556, -1.000000, 0.217778, -0.995556, 1.000000
-0.208889, 0.995556, -1.000000, 0.208889, -0.995556, 1.000000
-0.200000, 0.995556, -1.000000, 0.200000, -0.995556, 1.000000
-0.191111, 0.995556, -1.000000, 0.191111, -0.995556, 1.000000
-0.182222, 0.995556, -1.000000, 0.182222, -0.995556, 1.000000
-0.173333, 0.995556, -1.000000, 0.173333, -0.995556, 1.000000
-0.164444, 0.995556, -1.000000, 0.164444, -0.995556, 1.000000
-0.155556, 0.995556, -1.000000, 0.155556, -0.995556, 1.000000
-0.146667, 0.995556, -1.000000, 0.146667, -0.995556, 1.000000
-0.137778, 0.995556, -1.000000, 0.137778, -0.995556, 1.000000
-0.128889, 0.995556, -1.000000, 0.128889, -0.995556, 1.000000
-0.120000, 0.995556, -1.000000, 0.120000, -0.995556, 1.000000
-0.111111, 0.995556, -1.000000, 0.111111, -0.995556, 1.000000
-0.102222, 0.995556, -1.000000, 0.102222, -0.995556, 1.000000
-0.093333, 0.995556, -1.000000, 0.093333, -0.995556, 1.000000
-0.084444, 0.995556, -1.000000, 0.084444, -0.995556, 1.000000
-0.075556, 0.995556, -1.000000, 0.075556, -0.995556, 1.000000
-0.066667, 0.995556, -1.000000, 0.066667, -0.995556, 1.000000
-0.057778, 0.995556, -1.000000, 0.057778, -0.995556, 1.000000
-0.048889, 0.995556, -1.000000, 0.048889, -0.995556, 1.000000
-0.040000, 0.995556, -1.000000, 0.040000, -0.995556, 1.000000
-0.031111, 0.995556, -1.000000, 0.031111, -0.995556, 1.000000
-0.022222, 0.995556, -1.000000, 0.022222, -0.995556, 1.000000
-0.013333, 0.995556, -1.000000, 0.013333, -0.995556, 1.000000
